orderid,customerid,marketplaceid,orderno,unitsperorder,nooflineitems,date,ordertotal,shippingcost,carrier,shipmentweight
52,300,1,QQs-10051,2,2,3/28/2023,370.09,26.17,FedEx,416
53,2984,1,QQs-10052,2,2,3/28/2023,94.38,7.59,UPS by ShipStation,60
54,2422,1,QQs-10053,3,2,3/28/2023,167.74,11.5,FedEx,208
55,273,1,QQs-10054,10,1,3/28/2023,224.9,12.9,UPS by ShipStation,262
56,2985,1,QQs-10055,1,1,3/28/2023,20.59,6.22,Stamps.com,14
57,358,1,QQs-10056,5,5,3/28/2023,115.96,11.5,FedEx,123
58,2834,1,QQs-10057,1,1,3/28/2023,21.29,6.6,Stamps.com,15
59,1533,1,QQs-10058,1,1,3/28/2023,50.79,7.89,UPS by ShipStation,44
60,1949,1,QQs-10059,2,2,3/28/2023,108.39,12.9,UPS by ShipStation,128
61,5,1,QQs-1006,20,1,6/18/2020,271.3,18.3,Express 1,160
62,338,1,QQs-10060,7,4,3/28/2023,198.23,13.4,UPS by ShipStation,172
63,2742,1,QQs-10061,5,4,3/29/2023,459.5,50.79,FedEx,816
64,2899,1,QQs-10062,1,1,3/29/2023,39.89,8.3,Stamps.com,44
65,2853,1,QQs-10063,3,2,3/29/2023,45.38,8.3,Stamps.com,37.5
66,2903,1,QQs-10064,3,3,3/29/2023,168.68,10.33,FedEx,176
67,2630,1,QQs-10065,3,1,3/29/2023,54.27,8.3,Stamps.com,36
68,926,1,QQs-10066,2,1,3/29/2023,119.68,7.1,UPS by ShipStation,52
69,2986,1,QQs-10067,2,2,3/29/2023,48.78,8.3,Stamps.com,40
70,2987,1,QQs-10068,1,1,3/29/2023,12.19,4.44,Stamps.com,7
71,2293,1,QQs-10069,3,1,3/29/2023,45.99,8.3,Stamps.com,19.5
72,6,1,QQs-1007,2,2,6/18/2020,15.18,3.25,Stamps.com,7.5
73,2981,1,QQs-10071,1,1,3/29/2023,39.89,10.45,FedEx,44
74,334,1,QQs-10072,1,1,3/30/2023,62.59,10.45,FedEx,48
75,2867,1,QQs-10073,4,1,3/30/2023,47.16,7.6,Stamps.com,28
76,2988,1,QQs-10074,3,3,3/30/2023,71.18,10.45,FedEx,48
77,2989,1,QQs-10075,1,1,3/30/2023,431,20.95,FedEx,128
78,2990,1,QQs-10076,3,3,3/30/2023,206.38,15.77,UPS by ShipStation,140
79,2193,1,QQs-10077,2,1,3/31/2023,663.38,27.66,FedEx,736
80,2991,1,QQs-10078,3,2,3/31/2023,163.37,7.89,UPS by ShipStation,80
81,2438,1,QQs-10079,2,2,3/31/2023,108.18,7.38,UPS by ShipStation,74
82,8,1,QQs-1008,1,1,6/19/2020,7.59,3.18,Stamps.com,3.5
83,1515,1,QQs-10081,2,1,3/31/2023,338.68,20.95,FedEx,208
84,1561,1,QQs-10082,17,6,3/31/2023,360.93,9.6,FedEx,304
85,544,1,QQs-10083,2,1,3/31/2023,102.18,8.16,UPS by ShipStation,62
86,2490,1,QQs-10084,3,3,3/31/2023,254.95,12.24,UPS by ShipStation,176
87,2056,1,QQs-10085,4,2,3/31/2023,94.36,7.66,UPS by ShipStation,100
88,2679,1,QQs-10086,1,1,3/31/2023,97.5,10.45,FedEx,96
89,2992,1,QQs-10087,1,1,3/31/2023,70.09,10.45,FedEx,57
90,1849,1,QQs-10088,7,3,3/31/2023,300.34,10.94,FedEx,224
91,7,1,QQs-1009,1,1,6/19/2020,19.99,5.27,Stamps.com,14
92,2,1,QQs-10090,2,1,3/31/2023,15.78,4.15,Stamps.com,8
93,434,1,QQs-10091,1,1,3/31/2023,20.09,5.33,Stamps.com,10
94,2539,1,QQs-10092,6,1,4/1/2023,58.14,7.6,Stamps.com,24
95,1410,1,QQs-10093,17,2,4/1/2023,356.91,17.55,UPS by ShipStation,304
96,1379,1,QQs-10094,2,2,4/2/2023,50.7,7.38,UPS by ShipStation,44
97,1583,1,QQs-10095,3,3,4/2/2023,152.18,13.83,UPS by ShipStation,112
98,2254,1,QQs-10096,6,2,4/2/2023,66.45,7.88,UPS by ShipStation,62
99,2317,1,QQs-10097,1,1,4/2/2023,70.19,10.45,FedEx,85
100,327,1,QQs-10098,2,2,4/2/2023,488.69,26.61,FedEx,432
101,502,1,QQs-10099,2,2,4/3/2023,71.78,8.3,Stamps.com,56
102,9,1,QQs-1010,1,1,6/19/2020,15.19,7.62,FedEx,37
103,2867,1,QQs-10100,5,1,4/3/2023,58.95,7.4,UPS by ShipStation,35
104,235,1,QQs-10101,19,2,4/3/2023,644.67,23.74,FedEx,512
105,2985,1,QQs-10102,1,1,4/3/2023,24.79,7.6,Stamps.com,28
106,2993,1,QQs-10103,2,2,4/3/2023,9336.21,437.55,FedEx,9072
107,990,1,QQs-10104,3,3,4/3/2023,47.27,8.3,Stamps.com,32
108,2994,1,QQs-10105,1,1,4/3/2023,30.7,14.96,Stamps.com,8
109,901,1,QQs-10106,7,1,4/3/2023,563.76,60.95,FedEx,368
110,1258,1,QQs-10107,1,1,4/3/2023,87.09,10.45,FedEx,88
111,1902,1,QQs-10108,4,2,4/4/2023,165.27,13.89,Stamps.com,106
112,2316,1,QQs-10109,1,1,4/4/2023,9.79,4.44,Stamps.com,7
113,10,1,QQs-1011,6,3,6/19/2020,181.94,15.77,UPS,208
114,2995,1,QQs-10110,9,8,4/4/2023,233.79,0.6,Stamps.com,1
115,2814,1,QQs-10111,1,1,4/4/2023,190.5,28.85,FedEx,288
116,2996,1,QQs-10112,2,1,4/4/2023,39.98,8.3,Stamps.com,30
117,2997,1,QQs-10113,1,1,4/4/2023,36.29,11.5,FedEx,31
118,2883,1,QQs-10114,120,1,4/4/2023,2542.8,81.25,FedEx,1408
119,2998,1,QQs-10115,3,1,4/4/2023,31.77,7.6,Stamps.com,18
120,2999,1,QQs-10116,1,1,4/4/2023,10.06,3.64,Stamps.com,4
121,150,1,QQs-10117,5,2,4/4/2023,180.45,14,Stamps.com,144
122,3000,1,QQs-10118,1,1,4/5/2023,20.49,6.44,Stamps.com,14
123,901,1,QQs-10119,20,1,4/5/2023,1374.38,71.62,FedEx,1088
124,14,1,QQs-1012,1,1,6/21/2020,20.59,5.27,Stamps.com,14
125,2815,1,QQs-10120,30,1,4/5/2023,557.7,16.59,FedEx,496
126,635,1,QQs-10121,7,3,4/5/2023,259.7,10.41,FedEx,416
127,16,1,QQs-10122,3,1,4/5/2023,250.5,9.67,FedEx,256
128,2645,1,QQs-10124,4,1,4/5/2023,242.88,17.41,FedEx,264
129,2757,1,QQs-10125,6,6,4/5/2023,168.94,14.86,UPS by ShipStation,160
130,2956,1,QQs-10126,3,2,4/6/2023,3435,26.75,FedEx,640
131,1452,1,QQs-10127,4,4,4/6/2023,174.67,10.45,FedEx,84
132,2896,1,QQs-10128,4,1,4/6/2023,223.96,9.6,FedEx,272
133,1547,1,QQs-10129,1,1,4/6/2023,13.29,4.44,Stamps.com,7.9
134,13,1,QQs-1013,1,1,6/21/2020,14.99,3.21,Stamps.com,7
135,2868,1,QQs-10130,7,3,4/7/2023,119.64,15.01,UPS by ShipStation,96
136,1561,1,QQs-10131,11,4,4/7/2023,186.75,7.66,UPS by ShipStation,144
137,470,1,QQs-10132,2,2,4/7/2023,72.09,7.89,UPS by ShipStation,48
138,1571,1,QQs-10133,17,6,4/7/2023,746.06,13.44,FedEx,512
139,1410,1,QQs-10134,13,2,4/7/2023,1039.61,23.61,FedEx,816
140,1551,1,QQs-10135,13,5,4/7/2023,781.98,33.23,FedEx,960
141,1872,1,QQs-10136,1,1,4/7/2023,24.79,8.8,Stamps.com,23
142,260,1,QQs-10137,2,1,4/8/2023,32.38,8.3,Stamps.com,24
143,3001,1,QQs-10138,3,2,4/8/2023,94.78,11.12,UPS by ShipStation,78
144,2965,1,QQs-10139,8,1,4/8/2023,103.12,7.38,UPS by ShipStation,70
145,12,1,QQs-1014,1,1,6/21/2020,19.39,5.7,Stamps.com,13
146,2490,1,QQs-10140,2,1,4/8/2023,141.02,8.08,UPS by ShipStation,74
147,3002,1,QQs-10141,18,10,4/8/2023,279.62,15.65,FedEx,180
148,1379,1,QQs-10143,2,2,4/9/2023,57.22,7.69,Stamps.com,58
149,2928,1,QQs-10144,1,1,4/9/2023,25.69,7.6,Stamps.com,25
150,2338,1,QQs-10145,5,2,4/9/2023,154.3,14.71,UPS by ShipStation,176
151,2295,1,QQs-10146,3,1,4/10/2023,174.63,9.2,UPS by ShipStation,144
152,661,1,QQs-10147,2,2,4/10/2023,55.98,8.3,Stamps.com,48
153,661,1,QQs-10148,1,1,4/10/2023,56.29,10.45,FedEx,51
154,1459,1,QQs-10149,3,3,4/10/2023,238.47,11.19,FedEx,128
155,11,1,QQs-1015,4,1,6/21/2020,103.96,7.62,FedEx,104
156,3003,1,QQs-10150,1,1,4/10/2023,9.69,3.75,Stamps.com,3.8
157,2856,1,QQs-10151,2,2,4/10/2023,75.39,10.45,FedEx,54
158,2988,1,QQs-10152,7,2,4/10/2023,205.14,15.74,UPS by ShipStation,104
159,2245,1,QQs-10153,2,2,4/11/2023,90.68,10.45,FedEx,92
160,1861,1,QQs-10154,3,2,4/11/2023,66.28,7.38,UPS by ShipStation,44
161,1782,1,QQs-10155,30,1,4/11/2023,300.9,9.58,UPS by ShipStation,176
162,1937,1,QQs-10157,2,2,4/11/2023,21.15,7.1,UPS by ShipStation,26
163,2993,1,QQs-10159,51,2,4/11/2023,3719.5,70.44,FedEx,2768
164,16,1,QQs-1016,7,1,6/21/2020,72.73,7.65,FedEx,64
165,2604,1,QQs-10160,40,21,4/11/2023,686.31,20.27,FedEx,512
166,2136,1,QQs-10161,1,1,4/11/2023,55.09,7.6,Stamps.com,31
167,262,1,QQs-10162,1,1,4/11/2023,430.79,19.69,FedEx,432
168,2104,1,QQs-10163,3,2,4/11/2023,108.17,9.6,FedEx,79
169,70,1,QQs-10164,9,3,4/11/2023,168.42,14.71,UPS by ShipStation,144
170,55,1,QQs-10165,5,1,4/11/2023,303.6,17.77,UPS by ShipStation,304
171,2984,1,QQs-10166,1,1,4/12/2023,47.19,7.59,UPS by ShipStation,41
172,2376,1,QQs-10167,5,2,4/12/2023,147.96,15.65,FedEx,104
173,2985,1,QQs-10168,1,1,4/12/2023,20.59,6.44,Stamps.com,14
174,3004,1,QQs-10169,2,2,4/12/2023,10.99,4.09,Stamps.com,7.5
175,15,1,QQs-1017,7,1,6/21/2020,66.43,7.65,FedEx,42
176,2490,1,QQs-10170,3,3,4/12/2023,235.17,9.6,UPS by ShipStation,112
177,2742,1,QQs-10171,5,3,4/13/2023,270.16,26.13,UPS by ShipStation,264
178,1573,1,QQs-10172,3,3,4/13/2023,202.53,12.24,UPS by ShipStation,176
179,3005,1,QQs-10173,1,1,4/13/2023,103,10.45,FedEx,128
180,2834,1,QQs-10174,1,1,4/13/2023,21.29,6.6,Stamps.com,15
181,1851,1,QQs-10175,3,2,4/13/2023,90.57,8.17,UPS by ShipStation,70
182,1057,1,QQs-10176,2,1,4/13/2023,48.78,8.3,Stamps.com,40
183,1924,1,QQs-10178,6,2,4/13/2023,217.14,9.73,FedEx,208
184,2383,1,QQs-10179,16,3,4/14/2023,319.35,12.17,FedEx,224
185,17,1,QQs-1018,2,1,6/22/2020,59.98,7.62,FedEx,68
186,2467,1,QQs-10181,9,9,4/14/2023,199.3,10.77,FedEx,176
187,27,1,QQs-10182,9,9,4/14/2023,284.37,13.21,FedEx,326
188,2438,1,QQs-10183,2,2,4/14/2023,51.09,7.53,Stamps.com,32
189,2224,1,QQs-10184,12,12,4/14/2023,277.18,10.16,FedEx,168
190,2837,1,QQs-10185,4,2,4/14/2023,83.05,7.66,UPS by ShipStation,56
191,1849,1,QQs-10186,2,2,4/14/2023,216.78,12.9,UPS by ShipStation,182
192,434,1,QQs-10187,1,1,4/14/2023,18.19,5.33,Stamps.com,10
193,935,1,QQs-10188,5,3,4/15/2023,99.95,7.59,UPS by ShipStation,68
194,1073,1,QQs-10189,3,2,4/15/2023,168.98,11.54,UPS by ShipStation,173
195,19,1,QQs-1019,4,1,6/22/2020,41.56,6.95,FedEx,32
196,276,1,QQs-10190,13,5,4/15/2023,463.55,19.9,Stamps.com,208
197,3006,1,QQs-10191,1,1,4/15/2023,139.5,14.75,Stamps.com,136
198,3007,1,QQs-10192,3,3,4/15/2023,31.77,7.6,Stamps.com,27
199,1583,1,QQs-10193,2,2,4/16/2023,133.28,12.9,UPS by ShipStation,92
200,382,1,QQs-10194,3,3,4/16/2023,188.12,10.89,FedEx,144
201,1283,1,QQs-10195,14,4,4/17/2023,811.03,43.99,FedEx,848
202,468,1,QQs-10196,1,1,4/17/2023,51.39,11.5,FedEx,44
203,3008,1,QQs-10197,1,1,4/17/2023,1945,17.74,FedEx,560
204,3009,1,QQs-10198,1,1,4/17/2023,20.99,9.2,FedEx,5
205,608,1,QQs-10199,12,9,4/17/2023,255.59,17.36,FedEx,228.8
206,18,1,QQs-1020,3,3,6/22/2020,22.57,4.46,Stamps.com,12
207,1561,1,QQs-10200,7,7,4/17/2023,770.9,20.95,FedEx,960
208,1584,1,QQs-10201,3,1,4/17/2023,106.59,7.66,UPS by ShipStation,126
209,336,1,QQs-10202,1,1,4/17/2023,70.69,10.45,FedEx,43
210,2475,1,QQs-10203,8,1,4/17/2023,207.44,16.67,FedEx,224
211,263,1,QQs-10204,9,6,4/18/2023,95.12,14,Stamps.com,64
212,1525,1,QQs-10206,4,1,4/18/2023,299.4,11.69,FedEx,196
213,1434,1,QQs-10207,4,1,4/18/2023,123.44,8.51,Stamps.com,140
214,2170,1,QQs-10208,1,1,4/18/2023,70.51,7.66,UPS by ShipStation,32
215,1350,1,QQs-10209,5,1,4/18/2023,115.25,12.9,UPS by ShipStation,96
216,21,1,QQs-1021,8,4,6/23/2020,117.52,7.65,FedEx,63
217,1849,1,QQs-10211,3,2,4/18/2023,325.17,11.85,FedEx,260
218,739,1,QQs-10212,2,2,4/18/2023,132.18,11.81,UPS by ShipStation,116
219,3010,1,QQs-10213,3,3,4/18/2023,50.48,9.59,Stamps.com,52
220,427,1,QQs-10214,2,2,4/18/2023,163.18,10.89,UPS by ShipStation,160
221,607,1,QQs-10215,15,2,4/18/2023,257.25,15.33,FedEx,201
222,2815,1,QQs-10216,10,1,4/19/2023,230.5,16.07,UPS by ShipStation,256
223,2289,1,QQs-10217,1,1,4/19/2023,128.5,12.9,UPS by ShipStation,112
224,2713,1,QQs-10218,1,1,4/19/2023,11.79,4.81,Stamps.com,9
225,2258,1,QQs-10219,13,12,4/19/2023,314.68,15.75,FedEx,320
226,20,1,QQs-1022,10,2,6/23/2020,142.4,7.62,FedEx,88
227,2846,1,QQs-10220,2,1,4/19/2023,51.38,8.3,Stamps.com,26
228,2871,1,QQs-10221,3,2,4/19/2023,33.98,8.3,Stamps.com,40
229,423,1,QQs-10222,4,3,4/19/2023,109.36,14,Stamps.com,108
230,3011,1,QQs-10223,6,2,4/19/2023,218.94,17.57,UPS by ShipStation,164
231,2807,1,QQs-10224,3,1,4/19/2023,124.95,41.43,Stamps.com,40
232,1593,1,QQs-10225,1,1,4/20/2023,53.99,7.41,Stamps.com,48
233,242,1,QQs-10226,5,1,4/20/2023,350.55,9.6,FedEx,250
234,347,1,QQs-10227,2,2,4/20/2023,42.28,8.3,Stamps.com,31
235,2983,1,QQs-10228,2,2,4/20/2023,19.58,6.07,Stamps.com,14
236,629,1,QQs-10229,4,3,4/20/2023,153.47,15.33,FedEx,206
237,24,1,QQs-1023,2,1,6/23/2020,73.78,32.48,FedEx,30
238,1625,1,QQs-10230,2,2,4/21/2023,44.18,8.3,Stamps.com,29
239,1849,1,QQs-10231,3,2,4/21/2023,166.78,10.33,FedEx,176
240,2254,1,QQs-10232,3,2,4/21/2023,240.29,14.26,Stamps.com,208
241,1308,1,QQs-10233,3,2,4/21/2023,49.58,8.3,Stamps.com,56
242,1390,1,QQs-10234,5,1,4/22/2023,176.15,15.65,FedEx,144
243,2302,1,QQs-10235,5,2,4/22/2023,57.16,10.45,FedEx,45
244,468,1,QQs-10236,2,2,4/23/2023,39.89,10.45,FedEx,49
245,2801,1,QQs-10237,5,5,4/23/2023,165.95,11.34,FedEx,180
246,200,1,QQs-10238,3,3,4/24/2023,56.62,7.38,UPS by ShipStation,42
247,418,1,QQs-10239,2,1,4/24/2023,138.58,11.81,UPS by ShipStation,166
248,23,1,QQs-1024,10,1,6/23/2020,209.9,8.02,Express 1,160
249,1139,1,QQs-10240,36,3,4/24/2023,732.6,14.09,FedEx,592
250,540,1,QQs-10241,6,4,4/24/2023,1160.62,56.31,FedEx,1296
251,2919,1,QQs-10242,2,2,4/24/2023,46.48,7.38,UPS by ShipStation,48
252,2940,1,QQs-10243,10,7,4/24/2023,165.3,19.9,Stamps.com,163.6666667
253,276,1,QQs-10244,16,2,4/24/2023,510.89,19.9,Stamps.com,416
254,3012,1,QQs-10245,1,1,4/24/2023,58.69,8.8,UPS by ShipStation,80
255,3013,1,QQs-10246,1,1,4/24/2023,12.79,4.44,Stamps.com,5
256,2196,1,QQs-10247,2,2,4/24/2023,39.89,7.58,UPS by ShipStation,64
257,2082,1,QQs-10248,40,1,4/25/2023,632,14.49,FedEx,544
258,2224,1,QQs-10249,4,4,4/25/2023,163.66,17.25,FedEx,93
259,22,1,QQs-1025,1,1,6/23/2020,16.99,3.25,Stamps.com,8
260,2878,1,QQs-10250,2,2,4/25/2023,84.78,10.45,FedEx,70
261,143,1,QQs-10251,30,2,4/25/2023,923.06,13.41,FedEx,784
262,430,1,QQs-10252,3,3,4/25/2023,123.17,8.35,FedEx,62
263,2307,1,QQs-10253,1,1,4/25/2023,74.39,7.38,UPS by ShipStation,53
264,2499,1,QQs-10254,5,5,4/25/2023,52.65,7.6,Stamps.com,30
265,1488,1,QQs-10255,2,1,4/25/2023,32.38,8.3,Stamps.com,24
266,2490,1,QQs-10256,1,1,4/25/2023,27.75,7.8,Stamps.com,18
267,2422,1,QQs-10257,1,1,4/26/2023,71.59,10.45,FedEx,94
268,1561,1,QQs-10258,3,3,4/26/2023,233.17,9.6,FedEx,264
269,1643,1,QQs-10259,4,4,4/26/2023,52.57,7.63,UPS by ShipStation,48
270,25,1,QQs-1026,2,1,6/23/2020,15.18,3.31,Stamps.com,7
271,3010,1,QQs-10260,3,2,4/26/2023,68.38,11.81,UPS by ShipStation,101
272,477,1,QQs-10261,3,1,4/26/2023,101.97,10.45,FedEx,84
273,3014,1,QQs-10262,1,1,4/26/2023,70.89,8.8,UPS by ShipStation,45
274,2127,1,QQs-10263,2,2,4/26/2023,48.31,7.38,UPS by ShipStation,36
275,2610,1,QQs-10264,91,9,4/27/2023,1573.59,43.44,FedEx,1088
276,307,1,QQs-10265,1,1,4/27/2023,180.5,20.95,FedEx,186
277,1849,1,QQs-10266,2,1,4/27/2023,216.78,12.38,Stamps.com,176
278,300,1,QQs-10267,3,2,4/27/2023,860.18,53.22,FedEx,864
279,2903,1,QQs-10268,4,4,4/27/2023,201.87,12.41,FedEx,280
280,1842,1,QQs-10269,2,1,4/27/2023,97.88,11.5,FedEx,74
281,28,1,QQs-1027,15,1,6/23/2020,254.85,0,UPS,138
282,484,1,QQs-10270,1,1,4/27/2023,143.59,15.65,FedEx,104
283,263,1,QQs-10271,3,2,4/28/2023,33.18,7.6,Stamps.com,18
284,3015,1,QQs-10272,1,1,4/28/2023,11.01,4.09,Stamps.com,6
285,2984,1,QQs-10273,2,2,4/28/2023,94.38,7.89,UPS by ShipStation,58
286,2819,1,QQs-10274,1,1,4/28/2023,105.29,8.08,UPS by ShipStation,91
287,1996,1,QQs-10275,11,2,4/28/2023,199.9,14.31,UPS by ShipStation,143
288,3016,1,QQs-10276,1,1,4/28/2023,7.79,4.44,Stamps.com,6
289,2285,1,QQs-10277,3,1,4/28/2023,95.37,14,Stamps.com,154
290,1515,1,QQs-10278,2,1,4/29/2023,338.68,18.95,Stamps.com,218
291,1254,1,QQs-10279,3,2,4/29/2023,231.18,10.39,UPS by ShipStation,160
292,27,1,QQs-1028,4,4,6/23/2020,148.46,13.15,FedEx,140
293,3003,1,QQs-10280,1,1,4/29/2023,51.09,7.6,Stamps.com,31
294,471,1,QQs-10281,2,1,4/30/2023,156.68,20.95,FedEx,96
295,628,1,QQs-10283,9,9,4/30/2023,132.81,14,Stamps.com,90
296,2837,1,QQs-10285,4,2,4/30/2023,83.05,7.66,UPS by ShipStation,52
297,2940,1,QQs-10286,7,7,4/30/2023,162.97,19.9,Stamps.com,174.5
298,358,1,QQs-10287,5,5,4/30/2023,115.96,11.5,FedEx,128
299,3017,1,QQs-10288,1,1,4/30/2023,18.19,4.88,Stamps.com,10
300,1872,1,QQs-10289,2,2,5/1/2023,24.79,8.05,Stamps.com,22
301,26,1,QQs-1029,1,1,6/23/2020,39.99,7.62,FedEx,39
302,1305,1,QQs-10290,3,2,5/1/2023,92.58,10.45,FedEx,105
303,540,1,QQs-10291,5,2,5/1/2023,496.75,19.56,FedEx,448
304,2853,1,QQs-10292,3,3,5/1/2023,50.28,13.34,UPS by ShipStation,64
305,685,1,QQs-10293,4,4,5/1/2023,87.4,14.75,Stamps.com,79
306,853,1,QQs-10294,5,1,5/1/2023,120.45,10.25,FedEx,112
307,1777,1,QQs-10295,1,1,5/1/2023,27.89,8.3,Stamps.com,31
308,1462,1,QQs-10296,2,2,5/1/2023,27.89,8.3,Stamps.com,29
309,3018,1,QQs-10297,1,1,5/1/2023,77.29,7.13,Stamps.com,90
310,2720,1,QQs-10298,10,1,5/2/2023,90.1,7.15,Stamps.com,37.5
311,481,1,QQs-10299,2,2,5/2/2023,71.59,9.92,UPS by ShipStation,48
312,31,1,QQs-1030,10,1,6/23/2020,113.4,7.65,FedEx,70
313,2703,1,QQs-10300,1,1,5/2/2023,149.5,7.19,UPS by ShipStation,121
314,3019,1,QQs-10301,1,1,5/2/2023,13.39,4.2,Stamps.com,5
315,1937,1,QQs-10302,2,2,5/2/2023,21.15,4.69,Stamps.com,12
316,1583,1,QQs-10303,3,3,5/2/2023,198.57,14.05,UPS by ShipStation,144
317,990,1,QQs-10304,3,3,5/2/2023,59.38,12.52,UPS by ShipStation,58
318,2689,1,QQs-10305,3,3,5/2/2023,65.77,10.45,FedEx,56
319,1054,1,QQs-10306,1,1,5/2/2023,70.69,9.94,Stamps.com,43
320,2741,1,QQs-10307,1,1,5/2/2023,87.09,7.2,Stamps.com,94
321,2965,1,QQs-10308,3,3,5/2/2023,39.18,7.01,Stamps.com,35.5
322,2330,1,QQs-10309,2,2,5/3/2023,2812.63,160.95,FedEx,1136
323,30,1,QQs-1031,1,1,6/23/2020,14.79,3.31,Stamps.com,7
324,1410,1,QQs-10310,7,1,5/3/2023,174.34,7.2,Stamps.com,198
325,3020,1,QQs-10311,3,2,5/3/2023,23.67,6.78,Stamps.com,14
326,736,1,QQs-10312,3,3,5/3/2023,39.38,7.6,Stamps.com,28
327,430,1,QQs-10313,2,1,5/3/2023,91.58,8.3,Stamps.com,50
328,1145,1,QQs-10314,4,1,5/3/2023,1060,11.92,FedEx,448
329,90,1,QQs-10315,2,2,5/3/2023,75.39,9.59,Stamps.com,64
330,2742,1,QQs-10316,6,3,5/3/2023,341.05,24.38,FedEx,384
331,3017,1,QQs-10317,1,1,5/3/2023,22.69,6.22,Stamps.com,15
332,2981,1,QQs-10318,1,1,5/3/2023,39.89,10.45,FedEx,44
